iter	Passed	Remaining
403	6385	9420
404	6402	9406
405	6420	9393
406	6437	9380
407	6454	9365
408	6471	9351
409	6491	9340
410	6507	9325
411	6526	9313
412	6543	9299
413	6559	9284
414	6575	9268
415	6592	9254
416	6608	9238
417	6627	9227
418	6642	9211
419	6658	9195
420	6674	9179
421	6689	9163
422	6706	9148
423	6721	9131
424	6739	9118
425	6755	9102
426	6771	9086
427	6789	9073
428	6805	9057
429	6823	9044
430	6841	9032
431	6858	9017
432	6875	9003
433	6893	8990
434	6910	8975
435	6927	8961
436	6946	8949
437	6962	8934
438	6979	8919
439	6996	8904
440	7014	8891
441	7031	8877
442	7050	8865
443	7067	8849
444	7082	8833
445	7098	8816
446	7114	8802
447	7130	8785
448	7146	8769
449	7165	8757
450	7182	8743
451	7201	8731
452	7218	8716
453	7236	8702
454	7254	8689
455	7279	8684
456	7299	8673
457	7319	8661
458	7338	8649
459	7356	8635
460	7373	8620
461	7391	8607
462	7408	8592
463	7425	8578
464	7441	8562
465	7457	8546
466	7475	8531
467	7491	8515
468	7507	8500
469	7524	8484
470	7539	8468
471	7556	8453
472	7572	8436
473	7589	8422
474	7605	8406
475	7620	8389
476	7636	8373
477	7654	8359
478	7674	8347
479	7694	8335
480	7711	8320
481	7730	8307
482	7749	8295
483	7768	8282
484	7787	8269
485	7809	8258
486	7829	8247
487	7849	8235
488	7867	8221
489	7883	8205
490	7900	8189
491	7917	8174
492	7933	8158
493	7950	8143
494	7966	8127
495	7982	8111
496	8000	8096
497	8017	8082
498	8034	8066
499	8050	8050
500	8068	8036
501	8086	8021
502	8103	8007
503	8120	7992
504	8138	7977
505	8154	7961
506	8172	7946
507	8192	7934
508	8209	7919
509	8227	7904
510	8246	7891
511	8263	7876
512	8280	7860
513	8297	7845
514	8316	7831
515	8332	7815
516	8348	7799
517	8365	7784
518	8382	7768
519	8398	7752
520	8415	7737
521	8432	7721
522	8452	7708
523	8469	7693
524	8485	7677
525	8504	7663
526	8522	7648
527	8540	7634
528	8558	7620
529	8576	7605
530	8594	7591
531	8610	7574
532	8628	7560
533	8645	7544
534	8661	7528
535	8681	7515
536	8698	7499
537	8715	7484
538	8732	7468
539	8749	7453
540	8767	7438
541	8785	7423
542	8802	7408
543	8819	7392
544	8836	7376
545	8856	7364
546	8872	7347
547	8888	7331
548	8905	7315
549	8921	7299
550	8937	7283
551	8955	7267
552	8971	7251
553	8989	7236
554	9005	7220
555	9021	7204
556	9037	7187
557	9054	7172
558	9071	7156
559	9088	7140
560	9104	7124
561	9122	7109
562	9138	7093
563	9156	7078
564	9174	7063
565	9191	7048
566	9209	7033
567	9226	7017
568	9247	7004
569	9264	6989
570	9282	6973
571	9299	6958
572	9315	6941
573	9331	6925
574	9346	6908
575	9362	6891
576	9381	6877
577	9397	6861
578	9413	6844
579	9431	6829
580	9448	6813
581	9464	6797
582	9483	6782
583	9500	6767
584	9517	6751
585	9534	6735
586	9552	6720
587	9568	6704
588	9585	6688
589	9602	6673
590	9619	6657
591	9637	6642
592	9655	6626
593	9672	6611
594	9689	6595
595	9706	6579
596	9722	6563
597	9739	6547
598	9754	6530
599	9771	6514
600	9788	6498
601	9804	6481
602	9820	6465
603	9837	6449
604	9853	6433
605	9869	6416
606	9884	6399
607	9902	6384
608	9919	6368
609	9936	6352
610	9952	6336
611	9968	6319
612	9984	6303
613	10003	6288
614	10020	6273
615	10036	6256
616	10052	6240
617	10069	6224
618	10086	6208
619	10103	6192
620	10121	6177
621	10138	6161
622	10157	6146
623	10176	6131
624	10193	6116
625	10209	6099
626	10227	6084
627	10243	6067
628	10260	6051
629	10276	6035
630	10293	6019
631	10310	6003
632	10328	5988
633	10344	5971
634	10361	5955
635	10378	5939
636	10394	5923
637	10407	5904
638	10417	5885
639	10426	5864
640	10433	5843
641	10441	5822
642	10448	5801
643	10456	5780
644	10463	5759
645	10471	5738
646	10479	5717
647	10486	5696
648	10494	5675
649	10502	5655
650	10510	5634
651	10517	5613
652	10525	5593
653	10534	5573
654	10542	5553
655	10553	5534
656	10563	5514
657	10570	5494
658	10578	5473
659	10585	5453
660	10593	5432
661	10600	5412
662	10609	5392
663	10616	5372
664	10624	5352
665	10631	5331
666	10640	5312
667	10648	5292
668	10656	5272
669	10664	5252
670	10672	5233
671	10680	5213
672	10688	5193
673	10695	5173
674	10706	5154
675	10714	5135
676	10722	5115
677	10730	5096
678	10738	5076
679	10746	5057
680	10755	5038
681	10762	5018
682	10771	4999
683	10778	4979
684	10787	4960
685	10794	4941
686	10830	4934
687	10848	4919
688	10859	4901
689	10868	4882
690	10876	4863
691	10884	4844
692	10893	4825
693	10901	4806
694	10908	4787
695	10916	4768
696	10924	4748
697	10932	4730
698	10939	4710
699	10947	4691
700	10955	4673
701	10964	4654
702	10971	4635
703	10980	4616
704	10987	4597
705	10996	4579
706	11004	4560
707	11012	4541
708	11020	4523
709	11028	4504
710	11035	4485
711	11044	4467
712	11051	4448
713	11059	4429
714	11066	4411
715	11077	4393
716	11084	4375
717	11092	4356
718	11100	4338
719	11108	4320
720	11116	4301
721	11124	4283
722	11131	4264
723	11139	4246
724	11146	4227
725	11153	4209
726	11161	4191
727	11169	4173
728	11177	4154
729	11185	4137
730	11195	4119
731	11203	4101
732	11215	4085
733	11224	4067
734	11232	4049
735	11241	4032
736	11249	4014
737	11258	3996
738	11266	3978
739	11274	3961
740	11281	3943
741	11290	3925
742	11297	3907
743	11306	3890
744	11313	3872
745	11322	3855
746	11330	3837
747	11337	3819
748	11345	3802
749	11354	3784
750	11361	3767
751	11370	3749
752	11378	3732
753	11387	3715
754	11395	3697
755	11404	3680
756	11411	3663
757	11419	3645
758	11427	3628
759	11435	3611
760	11442	3593
761	11451	3576
762	11469	3562
763	11486	3548
764	11504	3533
765	11520	3519
766	11538	3505
767	11556	3491
768	11574	3476
769	11590	3462
770	11610	3448
771	11628	3434
772	11646	3420
773	11662	3405
774	11678	3390
775	11694	3375
776	11711	3361
777	11727	3346
778	11745	3332
779	11763	3317
780	11780	3303
781	11796	3288
782	11812	3273
783	11828	3258
784	11846	3244
785	11863	3230
786	11881	3215
787	11898	3201
788	11915	3186
789	11931	3171
790	11948	3157
791	11966	3142
792	11984	3128
793	12000	3113
794	12018	3099
795	12035	3084
796	12052	3069
797	12076	3056
798	12094	3042
799	12111	3027
800	12128	3013
801	12145	2998
802	12163	2984
803	12181	2969
804	12198	2954
805	12215	2940
806	12231	2925
807	12248	2910
808	12265	2895
809	12283	2881
810	12299	2866
811	12314	2851
812	12329	2836
813	12346	2821
814	12363	2806
815	12381	2791
816	12398	2777
817	12416	2762
818	12434	2748
819	12452	2733
820	12468	2718
821	12484	2703
822	12502	2688
823	12518	2673
824	12535	2659
825	12554	2644
826	12570	2629
827	12588	2615
828	12608	2600
829	12625	2585
830	12642	2571
831	12657	2555
832	12674	2540
833	12690	2525
834	12707	2511
835	12722	2495
836	12739	2480
837	12755	2465
838	12771	2450
839	12788	2435
840	12804	2420
841	12824	2406
842	12840	2391
843	12856	2376
844	12873	2361
845	12889	2346
846	12906	2331
847	12923	2316
848	12940	2301
849	12959	2286
850	12976	2271
851	12993	2257
852	13009	2242
853	13029	2227
854	13047	2212
855	13064	2197
856	13082	2182
857	13099	2167
858	13115	2152
859	13132	2137
860	13148	2122
861	13165	2107
862	13180	2092
863	13196	2077
864	13214	2062
865	13230	2047
866	13248	2032
867	13265	2017
868	13283	2002
869	13299	1987
870	13316	1972
871	13334	1957
872	13352	1942
873	13372	1927
874	13389	1912
875	13405	1897
876	13422	1882
877	13439	1867
878	13457	1852
879	13474	1837
880	13491	1822
881	13506	1807
882	13523	1791
883	13540	1776
884	13556	1761
885	13575	1746
886	13594	1731
887	13610	1716
888	13630	1701
889	13647	1686
890	13665	1671
891	13682	1656
892	13698	1641
893	13715	1626
894	13732	1611
895	13748	1595
896	13768	1580
897	13785	1565
898	13802	1550
899	13821	1535
900	13837	1520
901	13854	1505
902	13873	1490
903	13889	1474
904	13906	1459
905	13923	1444
906	13940	1429
907	13957	1414
908	13975	1399
909	13991	1383
910	14007	1368
911	14026	1353
912	14043	1338
913	14061	1323
914	14080	1307
915	14097	1292
916	14112	1277
917	14129	1262
918	14145	1246
919	14161	1231
920	14180	1216
921	14196	1200
922	14212	1185
923	14229	1170
924	14245	1155
925	14262	1139
926	14279	1124
927	14296	1109
928	14312	1093
929	14330	1078
930	14347	1063
931	14364	1048
932	14381	1032
933	14397	1017
934	14414	1002
935	14433	986
936	14450	971
937	14466	956
938	14482	940
939	14500	925
940	14516	910
941	14534	894
942	14551	879
943	14571	864
944	14588	849
945	14606	833
946	14623	818
947	14639	803
948	14655	787
949	14674	772
950	14693	757
951	14712	741
952	14728	726
953	14745	711
954	14762	695
955	14778	680
956	14795	664
957	14812	649
958	14832	634
959	14848	618
960	14864	603
961	14880	587
962	14896	572
963	14913	556
964	14932	541
965	14950	526
966	14967	510
967	14985	495
968	15002	479
969	15019	464
970	15037	449
971	15053	433
972	15070	418
973	15088	402
974	15105	387
975	15122	371
976	15140	356
977	15157	340
978	15172	325
979	15190	310
980	15206	294
981	15223	279
982	15243	263
983	15258	248
984	15275	232
985	15292	217
986	15308	201
987	15325	186
988	15343	170
989	15361	155
990	15379	139
991	15396	124
992	15414	108
993	15432	93
994	15451	77
995	15467	62
996	15488	46
997	15504	31
998	15521	15
999	15540	0
